trade_id,direction,entry_time,entry_price,exit_time,exit_price,close_reason,hold_bars,gross_pnl,fee,net_pnl,pnl_pct
0,long,2026-02-20 02:00:00,1.4172834,2026-02-20 13:00:00,1.388937732,SL,11,-201.96,0.0,-201.96,-2.0196
1,long,2026-02-24 23:00:00,1.3482696,2026-02-25 13:00:00,1.4156830800000002,TP,14,487.8444,0.0,487.8444,4.979
2,short,2026-03-05 23:00:00,1.4037192,2026-03-08 22:00:00,1.33353324,TP,71,512.3399,0.0,512.3399,4.981
3,short,2026-03-12 03:00:00,1.3737252000000002,2026-03-13 00:00:00,1.4011997040000002,SL,21,-218.1673,0.0,-218.1673,-2.0204
4,short,2026-03-13 23:00:00,1.3987202,2026-03-15 13:00:00,1.4266946040000001,SL,38,-213.7595,0.0,-213.7595,-2.0204
5,short,2026-03-17 14:00:00,1.5126974,2026-03-18 16:00:00,1.43706253,TP,26,516.3453,0.0,516.3453,4.981
6,short,2026-03-19 19:00:00,1.444711,2026-03-20 07:00:00,1.444,FORCE,12,3.1803,0.0,3.1803,0.0292
