trade_id,direction,entry_time,entry_price,exit_time,exit_price,close_reason,hold_bars,gross_pnl,fee,net_pnl,pnl_pct
40,short,2026-03-12 22:50:00,1.3732252999999999,2026-03-12 22:55:00,1.3791,SIGNAL,1,-39.5306,3.6961,-43.2267,-0.4678
41,long,2026-03-13 03:55:00,1.41268248,2026-03-13 11:55:00,1.4202,TIME,96,48.9421,3.6789,45.2633,0.4921
42,short,2026-03-13 21:30:00,1.3999199599999999,2026-03-14 05:30:00,1.3949,TIME,96,33.1422,3.697,29.4453,0.3186
43,short,2026-03-14 09:40:00,1.3933212799999999,2026-03-14 17:40:00,1.3906,TIME,96,18.1087,3.7087,14.4,0.1553
44,long,2026-03-15 17:05:00,1.41658326,2026-03-15 18:45:00,1.4122,SIGNAL,20,-28.7339,3.7145,-32.4484,-0.3494
45,long,2026-03-16 07:10:00,1.4849969399999998,2026-03-16 15:10:00,1.5086,TIME,96,147.0831,3.7015,143.3816,1.5494
46,short,2026-03-17 12:15:00,1.51209752,2026-03-17 20:15:00,1.529,TIME,96,-105.0432,3.7589,-108.8021,-1.1578
47,short,2026-03-18 10:05:00,1.51849624,2026-03-18 15:00:00,1.442571428,TP,59,464.4189,3.7154,460.7035,4.96
48,long,2026-03-19 01:35:00,1.46389272,2026-03-19 09:35:00,1.4641,TIME,96,1.3804,3.8996,-2.5192,-0.0258
49,short,2026-03-19 15:20:00,1.4303138800000001,2026-03-19 23:20:00,1.4468,TIME,96,-112.3411,3.8986,-116.2397,-1.1926
50,long,2026-03-20 00:10:00,1.4526904799999998,2026-03-20 08:10:00,1.4634,TIME,96,70.9966,3.8521,67.1445,0.6972
