trade_id,direction,entry_time,entry_price,exit_time,exit_price,close_reason,hold_bars,gross_pnl,fee,net_pnl,pnl_pct
54,short,2026-03-15 08:30:00,1.4088181800000001,2026-03-15 08:45:00,1.4122,SIGNAL,3,-21.2151,3.5352,-24.7503,-0.28
55,long,2026-03-15 17:05:00,1.41658326,2026-03-15 21:05:00,1.4169,TIME,48,1.9706,3.5253,-1.5547,-0.0176
56,long,2026-03-16 01:55:00,1.4472894,2026-03-16 03:30:00,1.476235188,TP,19,176.2324,3.5246,172.7077,1.96
57,long,2026-03-16 09:50:00,1.47499494,2026-03-16 13:50:00,1.4788,TIME,48,23.177,3.5937,19.5832,0.218
58,short,2026-03-17 00:05:00,1.5441911,2026-03-17 01:05:00,1.5596330109999998,SL,12,-90.0391,3.6016,-93.6407,-1.04
59,short,2026-03-17 03:25:00,1.56498694,2026-03-17 04:30:00,1.5336872012,TP,13,178.2054,3.5641,174.6413,1.96
60,short,2026-03-18 01:55:00,1.5151969,2026-03-18 02:35:00,1.530348869,SL,8,-90.8491,3.634,-94.4831,-1.04
61,long,2026-03-18 06:25:00,1.52950584,2026-03-18 10:25:00,1.5185,TIME,48,-64.6923,3.5962,-68.2884,-0.7596
62,long,2026-03-19 00:05:00,1.4617923,2026-03-19 00:30:00,1.4612,SIGNAL,5,-3.6151,3.5689,-7.184,-0.0805
63,long,2026-03-19 01:35:00,1.46389272,2026-03-19 02:00:00,1.4585,SIGNAL,5,-32.8411,3.566,-36.4071,-0.4084
64,long,2026-03-19 03:15:00,1.470294,2026-03-19 07:15:00,1.45559106,SL,48,-88.7855,3.5514,-92.3369,-1.04
65,long,2026-03-19 11:05:00,1.4647929,2026-03-19 11:10:00,1.4643,SIGNAL,1,-2.9565,3.5145,-6.471,-0.0736
66,short,2026-03-19 23:20:00,1.44651064,2026-03-20 00:05:00,1.451,SIGNAL,9,-27.2486,3.5119,-30.7605,-0.3504
67,long,2026-03-20 00:40:00,1.4487896999999998,2026-03-20 02:20:00,1.451,SIGNAL,20,13.3476,3.4996,9.848,0.1126
68,short,2026-03-20 04:35:00,1.44851024,2026-03-20 06:30:00,1.4629953424000002,SL,23,-87.5883,3.5035,-91.0918,-1.04
