trade_id,direction,entry_time,entry_price,exit_time,exit_price,close_reason,hold_bars,gross_pnl,fee,net_pnl,pnl_pct
0,long,2026-02-18 16:00:00,1.4592918000000001,2026-02-18 17:00:00,1.4563732164,SL,1,-21.996,0.0,-21.996,-0.22
1,long,2026-02-19 19:00:00,1.4122823999999998,2026-02-19 20:00:00,1.4094578351999998,SL,1,-21.9476,0.0,-21.9476,-0.22
2,long,2026-02-20 16:00:00,1.4322864,2026-02-20 17:00:00,1.4294218271999999,SL,1,-21.8993,0.0,-21.8993,-0.22
3,short,2026-02-21 17:00:00,1.4417115999999999,2026-02-21 18:00:00,1.4445950231999998,SL,1,-21.8591,0.0,-21.8591,-0.22
4,short,2026-02-22 03:00:00,1.4227154,2026-02-22 10:00:00,1.4255608308,SL,7,-21.811,0.0,-21.811,-0.22
5,long,2026-02-23 07:00:00,1.3712742,2026-02-23 08:00:00,1.3685316516,SL,1,-21.7551,0.0,-21.7551,-0.22
6,short,2026-02-23 17:00:00,1.3637272,2026-02-23 18:00:00,1.3664546544,SL,1,-21.7152,0.0,-21.7152,-0.22
7,long,2026-02-24 15:00:00,1.3522704,2026-02-24 16:00:00,1.3495658592000002,SL,1,-21.6595,0.0,-21.6595,-0.22
8,long,2026-02-28 14:00:00,1.3192637999999999,2026-02-28 15:00:00,1.3166252723999998,SL,1,-21.6119,0.0,-21.6119,-0.22
9,long,2026-03-02 01:00:00,1.3682736,2026-03-02 02:00:00,1.3655370528,SL,1,-21.5643,0.0,-21.5643,-0.22
10,long,2026-03-02 15:00:00,1.40028,2026-03-02 17:00:00,1.39747944,SL,2,-21.5169,0.0,-21.5169,-0.22
11,long,2026-03-03 16:00:00,1.3692738,2026-03-03 17:00:00,1.3665352524,SL,1,-21.4696,0.0,-21.4696,-0.22
12,short,2026-03-05 14:00:00,1.4377124,2026-03-05 15:00:00,1.4405878248,SL,1,-21.4301,0.0,-21.4301,-0.22
13,short,2026-03-08 03:00:00,1.3487302,2026-03-08 05:00:00,1.3514276604000002,SL,2,-21.383,0.0,-21.383,-0.22
14,short,2026-03-08 13:00:00,1.34973,2026-03-08 14:00:00,1.3524294600000002,SL,1,-21.3359,0.0,-21.3359,-0.22
15,long,2026-03-08 20:00:00,1.3532705999999999,2026-03-08 21:00:00,1.3505640587999999,SL,1,-21.2812,0.0,-21.2812,-0.22
16,long,2026-03-09 04:00:00,1.3442688,2026-03-09 07:00:00,1.3415802624,SL,3,-21.2344,0.0,-21.2344,-0.22
17,long,2026-03-09 10:00:00,1.3472693999999998,2026-03-09 11:00:00,1.3445748612,SL,1,-21.1877,0.0,-21.1877,-0.22
18,short,2026-03-10 12:00:00,1.3887222000000001,2026-03-10 13:00:00,1.3914996444,SL,1,-21.1488,0.0,-21.1488,-0.22
19,short,2026-03-10 19:00:00,1.3847230000000001,2026-03-10 20:00:00,1.3874924460000002,SL,1,-21.1023,0.0,-21.1023,-0.22
20,long,2026-03-11 13:00:00,1.3932786,2026-03-11 14:00:00,1.3904920427999998,SL,1,-21.0482,0.0,-21.0482,-0.22
21,long,2026-03-11 17:00:00,1.3982796,2026-03-11 19:00:00,1.3954830407999999,SL,2,-21.0019,0.0,-21.0019,-0.22
22,short,2026-03-12 15:00:00,1.3787242,2026-03-12 16:00:00,1.3814816483999999,SL,1,-20.9633,0.0,-20.9633,-0.22
23,long,2026-03-12 20:00:00,1.3722744,2026-03-13 00:00:00,1.3997198880000001,TP,4,188.1823,0.0,188.1823,1.9796
24,short,2026-03-13 15:00:00,1.4087182,2026-03-13 16:00:00,1.4115356364,SL,1,-21.3312,0.0,-21.3312,-0.22
25,short,2026-03-15 19:00:00,1.4127174,2026-03-15 20:00:00,1.4155428348,SL,1,-21.2843,0.0,-21.2843,-0.22
26,short,2026-03-17 04:00:00,1.529694,2026-03-17 07:00:00,1.5327533880000002,SL,3,-21.2375,0.0,-21.2375,-0.22
27,short,2026-03-19 08:00:00,1.4557088,2026-03-19 09:00:00,1.4586202176,SL,1,-21.1907,0.0,-21.1907,-0.22
