trade_id,direction,entry_time,entry_price,exit_time,exit_price,close_reason,hold_bars,gross_pnl,fee,net_pnl,pnl_pct
39,short,2026-03-11 00:35:00,1.38352324,2026-03-11 00:50:00,1.3904408561999997,SL,3,-50.1721,0.0,-50.1721,-0.5201
40,short,2026-03-11 02:30:00,1.38352324,2026-03-11 04:40:00,1.3843,SIGNAL,26,-7.3082,0.0,-7.3082,-0.0762
41,short,2026-03-11 08:00:00,1.37802434,2026-03-11 12:30:00,1.3849144617,SL,54,-49.8731,0.0,-49.8731,-0.5201
42,short,2026-03-11 15:15:00,1.38582278,2026-03-11 17:00:00,1.3927518938999999,SL,21,-49.6137,0.0,-49.6137,-0.5201
43,long,2026-03-11 17:15:00,1.3932786,2026-03-11 23:40:00,1.386312207,SL,77,-49.3367,0.0,-49.3367,-0.5199
44,long,2026-03-12 17:40:00,1.38167628,2026-03-12 18:20:00,1.3747678986,SL,8,-49.0802,0.0,-49.0802,-0.5199
45,short,2026-03-13 03:00:00,1.40111972,2026-03-13 03:45:00,1.4081253186,SL,9,-48.8438,0.0,-48.8438,-0.5201
46,short,2026-03-14 20:20:00,1.3909217600000001,2026-03-14 21:50:00,1.3978763688,SL,18,-48.5898,0.0,-48.5898,-0.5201
47,long,2026-03-15 08:50:00,1.4120823599999999,2026-03-15 16:50:00,1.4134,TIME,96,6.8117,0.0,6.8117,0.0733
48,short,2026-03-16 01:35:00,1.44181158,2026-03-16 01:50:00,1.4490206379,SL,3,-48.3725,0.0,-48.3725,-0.5201
49,short,2026-03-16 02:25:00,1.4365126400000001,2026-03-16 02:55:00,1.4436952031999999,SL,6,-48.1209,0.0,-48.1209,-0.5201
50,long,2026-03-16 22:05:00,1.54010796,2026-03-17 00:20:00,1.5371,SIGNAL,27,-19.8136,0.0,-19.8136,-0.2153
51,short,2026-03-17 20:20:00,1.5336932,2026-03-18 01:25:00,1.5189,SIGNAL,61,86.7678,0.0,86.7678,0.9447
52,short,2026-03-18 06:50:00,1.52599474,2026-03-18 11:30:00,1.4954748452,TP,56,183.6043,0.0,183.6043,1.9804
53,short,2026-03-19 00:20:00,1.46030788,2026-03-19 03:15:00,1.4676094193999998,SL,35,-49.1738,0.0,-49.1738,-0.5201
54,short,2026-03-19 22:40:00,1.44591076,2026-03-19 23:00:00,1.4531403137999999,SL,4,-48.918,0.0,-48.918,-0.5201
55,short,2026-03-20 06:55:00,1.45010992,2026-03-20 08:05:00,1.4573604696,SL,14,-48.6636,0.0,-48.6636,-0.5201
